turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],CAPEX [M€],Turbine Tax [M€]
8,EIB1S,10,61.16092955668839,-37.50130650877889,3624.75056927493,3790.254748258752,4.366571377817133,474.3048602126575,,,
8,EIB2,1,61.23307552661747,-44.38385047347934,7338.680617944783,7599.417899437249,3.431016492878668,1005.1912015416254,,,
8,EIB2,2,61.23204843533413,-44.496118586386565,7339.786134221076,7599.417899437249,3.4164691118697217,1006.0309670261714,,,
8,EIB2,3,61.223809159217055,-44.55096898831152,7341.336436382312,7599.417899437249,3.39606883672035,1006.4412480325702,,,
8,EIB2,4,61.22527521198117,-44.49091417053385,7340.625287455392,7599.417899437249,3.40542677618796,1005.992037995593,,,
8,EIB2,5,61.23378461161825,-44.34802193133064,7338.278059764262,7599.417899437249,3.4363137167693374,1004.9232040463532,,,
8,EIB2,6,61.237702216971016,-44.53418615006919,7339.377610191911,7599.417899437249,3.421844839781664,1006.3157124025176,,,
8,EIB2,7,61.23578285574831,-44.480703286508,7339.165342707209,7599.417899437249,3.4246380469392546,1005.91566058308,,,
8,EIB2,8,61.232333601258624,-44.40481456854267,7338.958848650806,7599.417899437249,3.427355282116144,1005.3480129726992,,,
8,EIB2,9,61.23754867481381,-44.44466701712211,7338.6231011377695,7599.417899437249,3.4317733509403605,1005.6461092880731,,,
8,EIB2,10,61.22824728550035,-44.45367806816769,7339.915050182511,7599.417899437249,3.4147727192888646,1005.7135119498944,,,
12,EIB1N,1,60.46240961039659,-41.99802699416353,3690.022309314961,3834.0393071423214,3.756273378811647,491.03266041828834,,,
12,EIB1N,2,60.4382410964074,-42.07246023217329,3691.955894374261,3834.0393071423214,3.705841317364148,491.3095520636846,,,
12,EIB1N,3,60.47332027838094,-41.94713743164324,3689.074548456989,3834.0393071423214,3.780993022561965,490.8433512457129,,,
12,EIB1N,4,60.44416039371015,-41.95979273187487,3691.0699878437777,3834.0393071423214,3.728947667078207,490.8904289625745,,,
12,EIB1N,5,60.43490311299005,-42.03866232301502,3692.030664709277,3834.0393071423214,3.703891146042812,491.1838238416159,,,
12,EIB1N,6,60.44468885372979,-42.0878686289137,3691.5938013133095,3834.0393071423214,3.7152854839974,491.3668712995589,,,
12,EIB1N,7,60.45019584845437,-41.95402235351138,3690.643052156879,3834.0393071423214,3.740083069005456,490.8689631550623,,,
12,EIB1N,8,60.44516108525107,-42.120412849884936,3691.704399470415,3834.0393071423214,3.7124008459369766,491.487935801572,,,
12,EIB1N,9,60.44015458717364,-42.11237762392529,3692.002704120113,3834.0393071423214,3.704620418408698,491.4580447610021,,,
12,EIB1N,10,60.41539310042454,-41.9890730054321,3693.113962615597,3834.0393071423214,3.675636404253853,490.9993515802074,,,
12,EIB1S,1,60.33482482436154,-37.45794504837972,3678.675570581296,3825.4784014468055,3.837502541119788,474.1435555799725,,,
12,EIB1S,2,60.33322407948897,-37.47430908855417,3678.853557264818,3825.4784014468055,3.832849876411109,474.2044298094215,,,
12,EIB1S,3,60.32561771717552,-37.59716709774848,3679.8967135733465,3825.4784014468055,3.805581226609453,474.6614616036244,,,
12,EIB1S,4,60.339890260156416,-37.38894336528924,3678.037117841389,3825.4784014468055,3.854192028627152,473.8868693188759,,,
12,EIB1S,5,60.34700012814683,-37.660052041380446,3678.749994653916,3825.4784014468055,3.835557057057149,474.8953935939352,,,
12,EIB1S,6,60.33291606575274,-37.53734180862392,3679.1497012401087,3825.4784014468055,3.825108518488953,474.4389115280809,,,
12,EIB1S,7,60.32360750140092,-37.62734363928948,3680.1624201815225,3825.4784014468055,3.798635517333573,474.7737183381568,,,
12,EIB1S,8,60.34193000162213,-37.48579606440659,3678.3250599040257,3825.4784014468055,3.84666507297822,474.2471613595925,,,
12,EIB1S,9,60.34990791414339,-37.62155430099659,3678.388419753466,3825.4784014468055,3.845008813478321,474.7521819997073,,,
12,EIB1S,10,60.35033660646653,-37.56149262197838,3678.0973410724137,3825.4784014468055,3.8526177619680704,474.5287525537596,,,
12,EIB2,1,60.41380983171004,-44.02789936918749,7463.957676867461,7703.125200949538,3.104811590659287,1005.2092452689062,,,
12,EIB2,2,60.40998683179991,-43.80335816017964,7462.49556228832,7703.125200949538,3.123792387946088,1003.5251862013472,,,
12,EIB2,3,60.4049268627629,-43.91287480507532,7464.141473825702,7703.125200949538,3.10242558558412,1004.3465610380648,,,
12,EIB2,4,60.40629025156129,-43.91189927553211,7463.949212734007,7703.125200949538,3.104921469873665,1004.3392445664908,,,
12,EIB2,5,60.40603241043279,-43.82656495583871,7463.232523866986,7703.125200949538,3.114225341332648,1003.6992371687904,,,
12,EIB2,6,60.39804416500992,-43.90584722518568,7465.006933505647,7703.125200949538,3.091190409504696,1004.2938541888924,,,
12,EIB2,7,60.39077585034654,-43.89241092605502,7465.868135385745,7703.125200949538,3.080010507093249,1004.1930819454126,,,
12,EIB2,8,60.409978678242936,-44.02299301760116,7464.43054888202,7703.125200949538,3.0986728871821425,1005.1724476320086,,,
12,EIB2,9,60.41069666981319,-43.80551046363454,7462.418914906751,7703.125200949538,3.12478740463826,1003.5413284772592,,,
12,EIB2,10,60.410932656522334,-43.8376149458012,7462.669809223675,7703.125200949538,3.12153035882402,1003.782112093509,,,
15,EIB1N,1,59.97111339386189,-42.05031049235247,3753.257559866567,3887.957720188302,3.4645479713501524,495.1886643463217,,,
15,EIB1N,2,59.95866358623133,-42.11871349832551,3754.411404535525,3887.957720188302,3.434870573806259,495.44517561872055,,,
15,EIB1N,3,59.98680122525055,-41.97896848076734,3751.870247894615,3887.957720188302,3.5002302516575816,494.9211318028776,,,
15,EIB1N,4,59.94671137127749,-42.12619731408186,3755.261303547629,3887.957720188302,3.4130107936010816,495.47323992780696,,,
15,EIB1N,5,59.99209963304656,-42.10352627087419,3752.061294385607,3887.957720188302,3.4953164510264574,495.38822351577824,,,
15,EIB1N,6,59.97640913386882,-42.04555593630064,3752.874920901031,3887.957720188302,3.474389615551917,495.1708347611273,,,
15,EIB1N,7,59.99608447518016,-42.07172042796362,3751.6483526076577,3887.957720188302,3.505937497027172,495.2689516048636,,,
15,EIB1N,8,59.96127950574074,-42.02798588625681,3753.830020815002,3887.957720188302,3.449824021409468,495.1049470734631,,,
15,EIB1N,9,59.96487729763783,-42.03619223282836,3753.6207304469017,3887.957720188302,3.4552070626656453,495.1357208731063,,,
15,EIB1N,10,59.96674523879993,-42.07279169334594,3753.655599442404,3887.957720188302,3.45431021660887,495.2729688500473,,,
15,EIB1S,1,59.82383026112434,-37.57613114787234,3743.43240412836,3876.914713778591,3.443003509358437,478.41049180452126,,,
15,EIB1S,2,59.839856391710285,-37.25903990591466,3740.927932073492,3876.914713778591,3.507603126315889,477.22139964718,,,
