turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],Turbine Tax [M€]
10,EIB1S,5,64.39729918245455,-37.75955071365468,3677.188304432752,3840.348031408999,4.248566162280471,573.6984552273611,94.60014005115612,107.40935039379256
10,EIB1S,6,64.449537068281,-38.058486568519605,3675.4260327271495,3840.348031408999,4.29445449560832,575.0408130956388,94.8214884636902,107.40935039379256
10,EIB1S,7,64.35247737494174,-37.71683146076444,3679.754995668882,3840.348031408999,4.181731302128784,573.5066263640418,94.56850838617514,107.40935039379256
10,EIB1S,8,64.3477240431305,-37.70156895908524,3679.974595653607,3840.348031408999,4.176013070788059,573.4380907940015,94.55720719743177,107.40935039379256
10,EIB1S,9,64.45577803539021,-37.8529709016059,3674.030516555615,3840.348031408999,4.330792769122109,574.1179543349839,94.66931345396183,107.40935039379256
10,EIB1S,10,64.44395652802979,-38.01543463163992,3675.559518787636,3840.348031408999,4.2909786111469534,574.8474903299866,94.78961046133702,107.40935039379256
10,EIB2,1,64.435304113998,-44.91222048404241,7419.981345664281,7665.319126695645,3.200620573994601,1211.6343874198678,199.79273378955,214.8187007875851
10,EIB2,2,64.45301728933902,-44.973277120449325,7418.370647599102,7665.319126695645,3.221633372529888,1212.1827315208354,199.88315311746533,214.8187007875851
10,EIB2,3,64.42940582936055,-45.00412045798218,7421.62119142019,7665.319126695645,3.1792275213531536,1212.459732731278,199.9288292964118,214.8187007875851
10,EIB2,4,64.43590545200695,-44.99491996451806,7420.7191632861795,7665.319126695645,3.190995174064041,1212.377103935885,199.9152042019999,214.8187007875851
10,EIB2,5,64.44432078801515,-44.93631513010792,7419.092666081558,7665.319126695645,3.2122140845586804,1211.85077924576,199.8284157699507,214.8187007875851
10,EIB2,6,64.43314193320634,-44.98020477406551,7420.919562808898,7665.319126695645,3.188380807729041,1212.2449481481754,199.8934123426843,214.8187007875851
10,EIB2,7,64.43567817565753,-44.79119261424812,7418.745008183186,7665.319126695645,3.2167495499793053,1210.5474471237792,199.61350251691837,214.8187007875851
10,EIB2,8,64.42243131024527,-44.94586234238314,7421.919506761438,7665.319126695645,3.175335767646397,1211.936521891275,199.842554323402,214.8187007875851
10,EIB2,9,64.43069001469718,-44.9300225718941,7420.732420315012,7665.319126695645,3.1908222258982404,1211.7942663524927,199.8190970632868,214.8187007875851
10,EIB2,10,64.43228770243627,-44.90350351001116,7420.272249458947,7665.319126695645,3.1968255096292766,1211.5561010685458,199.779824743462,214.8187007875851
12,EIB1N,1,64.15011489983385,-42.15937286516202,3691.3418131165786,3834.0393071423223,3.721857878710765,588.7080113539345,97.07514429553189,112.70837961218665
12,EIB1N,2,64.17701614956147,-42.23199379981954,3690.019372728159,3834.0393071423223,3.756349971318061,589.0315035520136,97.1284866166849,112.70837961218665
12,EIB1N,3,64.1704838343789,-42.30992067408701,3690.808372912736,3834.0393071423223,3.735771147749223,589.3786312220868,97.1857263144832,112.70837961218665
12,EIB1N,4,64.14454718221097,-42.18241709386258,3691.8022098889433,3834.0393071423223,3.709849739631257,588.8106625829574,97.0920709937886,112.70837961218665
12,EIB1N,5,64.15446047787268,-42.223941857535046,3691.3869386616975,3834.0393071423223,3.720680907336609,588.995635926229,97.12257221619872,112.70837961218665
12,EIB1N,6,64.15048732330058,-42.268451026895725,3691.8529370944384,3834.0393071423223,3.708526664893847,589.1939033968843,97.15526557683212,112.70837961218665
12,EIB1N,7,64.16468702293271,-42.24315558768458,3690.842990841062,3834.0393071423223,3.734868237644415,589.0812240810592,97.1366852948725,112.70837961218665
12,EIB1N,8,64.12387161741314,-42.15544792942378,3692.961050494384,3834.0393071423223,3.6796246816021982,588.6905276063724,97.07226130891594,112.70837961218665
12,EIB1N,9,64.15894052352256,-42.14697538031903,3690.730394832327,3834.0393071423223,3.737804983976812,588.6527863745065,97.06603795971972,112.70837961218665
12,EIB1N,10,64.1480043582704,-42.3176131725342,3692.248768455233,3834.0393071423223,3.698202530760514,589.412897694188,97.1913766923608,112.70837961218665
12,EIB1S,1,64.01921298939409,-37.55226611541462,3676.908981839753,3825.4784014468055,3.883682091914656,568.1855119357034,93.69108198636108,112.70837961218665
12,EIB1S,2,64.00874298972055,-37.7620912276,3678.591766709648,3825.4784014468055,3.839693218019603,569.1201843834367,93.84520501676468,112.70837961218665
12,EIB1S,3,64.03108490765419,-37.839675676266445,3677.580352667858,3825.4784014468055,3.866132108418459,569.4657867080861,93.90219319237497,112.70837961218665
12,EIB1S,4,63.99886810906075,-37.792397296210034,3679.356316193342,3825.4784014468055,3.819707495883382,569.2551837027933,93.8674657608918,112.70837961218665
12,EIB1S,5,63.95762887686099,-37.564604167209545,3680.810333080085,3825.4784014468055,3.781698736346469,568.2404721687818,93.7001446667624,112.70837961218665
12,EIB1S,6,63.999322769155626,-37.77201477925796,3679.227854169948,3825.4784014468055,3.823065560154392,569.164389151025,93.85249417218542,112.70837961218665
12,EIB1S,7,63.974134980384,-37.732909061675024,3680.607099637329,3825.4784014468055,3.787011364505042,568.9901915233297,93.82376981389858,112.70837961218665
12,EIB1S,8,64.00097936263322,-37.67110815635789,3678.6289647365984,3825.4784014468055,3.838720842200241,568.7148974803847,93.77837513873334,112.70837961218665
12,EIB1S,9,63.99160389453414,-37.75194287316597,3679.610674570908,3825.4784014468055,3.813058435272576,569.0749782249338,93.83775073675648,112.70837961218665
12,EIB1S,10,63.9909483036012,-37.69899735120424,3679.39149015406,3825.4784014468055,3.818788030210688,568.8391307608573,93.79886061437765,112.70837961218665
12,EIB2,1,64.14814430929268,-44.82190122045088,7468.767802771707,7703.125200949538,3.04236776716213,1210.8232383243949,199.6589791710132,227.23463631489236
12,EIB2,2,64.13030583145,-44.63260148661398,7469.150661682514,7703.125200949538,3.0373975907620387,1209.123154623872,199.37864347426745,227.23463631489236
12,EIB2,3,64.13676754769627,-44.592889025101606,7467.942202206326,7703.125200949538,3.0530855024168866,1208.766500617253,199.31983292899136,227.23463631489236
12,EIB2,4,64.14434949783868,-44.6013456022948,7467.06838998776,7703.125200949538,3.064429109015131,1208.842448368246,199.3323563510347,227.23463631489236
12,EIB2,5,64.12642445340367,-44.46270694478587,7467.962269748407,7703.125200949538,3.0528249907212106,1207.5973471886723,199.12704510277837,227.23463631489236
