turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],CAPEX [M€],Turbine Tax [M€]
8,EIB1N,1,61.97655490690945,-42.27543515178552,3630.563040003794,3795.1989894164094,4.338005724383176,508.2580180367149,16.193399272072767,2083200524.8435304,16.585512169920005
8,EIB1N,2,61.94982556330715,-42.14414414293619,3631.690799662326,3795.1989894164094,4.308290295451075,507.7535425997811,16.17732638805851,2083200524.3390548,16.585512169920005
8,EIB1N,3,61.98194078522103,-42.151242796522126,3629.675104688895,3795.1989894164094,4.361402002611941,507.7808186211994,16.178195418137143,2083200524.3663309,16.585512169920005
8,EIB1N,4,61.95152938496618,-42.19519801910581,3631.8062209859454,3795.1989894164094,4.305249049815696,507.949713127478,16.18357649640442,2083200524.5352252,16.585512169920005
8,EIB1N,5,61.95567102802701,-42.13348939007437,3631.27131325592,3795.1989894164094,4.319343376134736,507.7126025449175,16.176022013840885,2083200524.2981148,16.585512169920005
8,EIB1N,6,61.994601334591,-42.215900150195054,3629.1523841527614,3795.1989894164094,4.375175207589867,508.0292594476581,16.186110888932607,2083200524.614772,16.585512169920005
8,EIB1N,7,62.01374534449069,-42.15150754404527,3627.6514866768102,3795.1989894164094,4.414722474548389,507.7818358928587,16.178227829010282,2083200524.367348,16.585512169920005
8,EIB1N,8,61.974566026997024,-42.07617366694658,3629.815589620872,3795.1989894164094,4.357700353966672,507.4923713598465,16.169005318805176,2083200524.0778835,16.585512169920005
8,EIB1N,9,61.96275785267426,-42.27108143900325,3631.4233010673943,3795.1989894164094,4.315338637202775,508.2412892357303,16.19286628263812,2083200524.8268013,16.585512169920005
8,EIB1N,10,61.958516081292274,-42.15640069384055,3631.190476105201,3795.1989894164094,4.321473360647921,507.8006374383917,16.178826857304863,2083200524.3861496,16.585512169920005
8,EIB1S,1,61.73091937643876,-37.50813549962342,3625.2781730484166,3790.254748258752,4.35265136957154,489.94004183943656,15.609777780837533,2083200506.525554,16.585512169920005
8,EIB1S,2,61.73870237976448,-37.5265573705378,3624.86203888676,3790.254748258752,4.363630424788039,490.0108264381698,15.612033019769184,2083200506.5963385,16.585512169920005
8,EIB1S,3,61.71833113650708,-37.579782616476486,3626.398523896391,3790.254748258752,4.323092647997771,490.2153402844426,15.618548951150172,2083200506.8008523,16.585512169920005
8,EIB1S,4,61.73075943390327,-37.49385193232988,3625.225460663223,3790.254748258752,4.354042104197429,489.8851583488265,15.608029160559337,2083200506.4706705,16.585512169920005
8,EIB1S,5,61.73180272137334,-37.55858293273287,3625.4439922058873,3790.254748258752,4.348276487974285,490.13388215708767,15.615953647321398,2083200506.7193944,16.585512169920005
8,EIB1S,6,61.73229645095746,-37.57720651949762,3625.4944937869977,3790.254748258752,4.346944081989341,490.2054418332053,15.618233580674206,2083200506.790954,16.585512169920005
8,EIB1S,7,61.72816141526158,-37.54546872128216,3625.618920983673,3790.254748258752,4.34366126315685,490.0834918248811,15.614348181711582,2083200506.669004,16.585512169920005
8,EIB1S,8,61.73999141636234,-37.52023631685205,3624.751842198565,3790.254748258752,4.3665377936989245,489.9865382835737,15.611259184884146,2083200506.5720503,16.585512169920005
8,EIB1S,9,61.72427003600678,-37.56257691349062,3625.9430315864415,3790.254748258752,4.3351101069867415,490.1492287158927,15.616442597707543,2083200506.734741,16.585512169920005
8,EIB1S,10,61.73547924920748,-37.596146140146246,3625.374548318506,3790.254748258752,4.350108657366397,490.27821584481376,15.620552203469687,2083200506.863728,16.585512169920005
8,EIB2,1,61.81405518649302,-44.8127807686538,7343.490625158632,7599.417899437249,3.3677220764181017,1041.5851142635422,33.185514114011816,4188801074.934478,33.34936318037677
8,EIB2,2,61.816523840660736,-44.81448825316675,7343.186657938928,7599.417899437249,3.3717219514575603,1041.598306562087,33.18593442839953,4188801074.94767,33.34936318037677
8,EIB2,3,61.82378341991286,-44.86948188927362,7342.734932205812,7599.417899437249,3.377666166384203,1042.0231961936304,33.1994716618636,4188801075.37256,33.34936318037677
8,EIB2,4,61.82367086142459,-44.77583541132492,7341.921186357584,7599.417899437249,3.3883741687469646,1041.299668521562,33.17641964485174,4188801074.649032,33.34936318037677
8,EIB2,5,61.81320120144157,-44.79992953433612,7343.487320102478,7599.417899437249,3.36776556733013,1041.4858235710062,33.182350654172176,4188801074.835187,33.34936318037677
8,EIB2,6,61.82297451454142,-44.895661852967685,7343.071021084193,7599.417899437249,3.373243605566673,1042.2254667819248,33.205916121726524,4188801075.57483,33.34936318037677
8,EIB2,7,61.841504503889496,-44.8257293796832,7340.05887465677,7599.417899437249,3.4128801470397443,1041.685157304133,33.18870154410281,4188801075.0345206,33.34936318037677
8,EIB2,8,61.821620211382665,-44.90153299571596,7343.297969341461,7599.417899437249,3.370257215552707,1042.270828170181,33.20736136222544,4188801075.620192,33.34936318037677
8,EIB2,9,61.82021790009122,-44.90067552643632,7343.471615762641,7599.417899437249,3.367972219208543,1042.2642032253314,33.20715028758757,4188801075.6135664,33.34936318037677
8,EIB2,10,61.82526338049726,-44.83176852843609,7342.210137272516,7599.417899437249,3.3845718917994887,1041.7318167336618,33.19018814095983,4188801075.08118,33.34936318037677
12,EIB1N,1,61.05811928366504,-42.10356243345812,3691.8305296995054,3834.0393071423223,3.7091110979978903,507.5976105538635,16.172358301399278,2083200526.3823404,18.78472993536444
