turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],CAPEX [M€],Turbine Tax [M€]
8,EIB1N,1,67.25375482747016,-42.27402171366854,3631.063820701464,3795.1989894164094,4.324810613953748,653.9916231389328,161.93226236408597,2083200819.8467448,165.85512169920003
8,EIB1N,2,67.22181721565687,-42.28391914188654,3632.97875676377,3795.1989894164094,4.274353811355358,654.0405581834816,161.9443789756637,2083200819.89568,165.85512169920003
8,EIB1N,3,67.19892023310085,-42.11777233845484,3633.4570079282894,3795.1989894164094,4.261752333386639,653.2190921371036,161.74097903805168,2083200819.0742135,165.85512169920003
8,EIB1N,4,67.227309899175,-42.20393416075851,3632.244669894804,3795.1989894164094,4.293696324646831,653.645094985516,161.8464599074944,2083200819.5002165,165.85512169920003
8,EIB1N,5,67.19439512117722,-42.196666870690734,3634.1293599733535,3795.1989894164094,4.244036475879874,653.6091639178304,161.8375631588609,2083200819.4642856,165.85512169920003
8,EIB1N,6,67.23023430433142,-42.2003103396386,3632.055249442163,3795.1989894164094,4.298687379217865,653.6271780232473,161.84202355979173,2083200819.4823,165.85512169920003
8,EIB1N,7,67.23326532284337,-42.247437662255976,3632.121912549129,3795.1989894164094,4.296930867710783,653.8601857885925,161.89971768500035,2083200819.7153077,165.85512169920003
8,EIB1N,8,67.2719853439939,-42.211251228581816,3629.676600674365,3795.1989894164094,4.361362584771811,653.6812721652856,161.85541759496127,2083200819.536394,165.85512169920003
8,EIB1N,9,67.23143197045918,-42.20861543101321,3632.028272149321,3795.1989894164094,4.29939820605244,653.6682402070234,161.8521908036542,2083200819.523362,165.85512169920003
8,EIB1N,10,67.21977611334937,-42.24908975751908,3632.9178944279047,3795.1989894164094,4.275957477883384,653.8683541080305,161.90174021005956,2083200819.723476,165.85512169920003
8,EIB1S,1,66.92696955432119,-37.74169269139656,3626.685309200188,3790.254748258752,4.315526262019924,631.5827995810336,156.3837027690384,2083200797.4379213,165.85512169920003
8,EIB1S,2,66.94904319207353,-37.726999783970136,3625.316768364211,3790.254748258752,4.351633091952813,631.5101546409921,156.36571544462322,2083200797.3652763,165.85512169920003
8,EIB1S,3,66.9406305855037,-37.802082180090885,3626.19901642485,3790.254748258752,4.328356343574768,631.8813783890267,156.4576326790887,2083200797.7365,165.85512169920003
8,EIB1S,4,66.92662703983349,-37.74171032229619,3626.7054598675177,3790.254748258752,4.31499461787809,631.5828867520482,156.38372435310632,2083200797.4380083,165.85512169920003
8,EIB1S,5,66.92964859832162,-37.718533194741525,3626.40814303178,3790.254748258752,4.322838862011657,631.46829397659,156.35535049215156,2083200797.3234155,165.85512169920003
8,EIB1S,6,66.93273560225659,-37.743066481156326,3626.3547926935776,3790.254748258752,4.324246428039431,631.5895918973418,156.3853845874403,2083200797.4447136,165.85512169920003
8,EIB1S,7,66.94608768660824,-37.82622174808191,3626.004903086121,3790.254748258752,4.333477723313642,632.0007296799893,156.48718477712458,2083200797.8558512,165.85512169920003
8,EIB1S,8,66.91878136349077,-37.72484506275871,3627.077392402288,3790.254748258752,4.305181754113682,631.4995012292019,156.36307759573944,2083200797.3546228,165.85512169920003
8,EIB1S,9,66.9435380988938,-37.8344928565302,3626.197094911512,3790.254748258752,4.32840703972756,632.0416238447631,156.49731041847076,2083200797.8967452,165.85512169920003
8,EIB1S,10,66.94041395387167,-37.65020984715733,3625.4230945937984,3790.254748258752,4.348827839096489,631.1304884392216,156.27170780779633,2083200796.98561,165.85512169920003
8,EIB2,1,67.15276155506581,-45.30490268956292,7344.572248679196,7599.417899437249,3.353489097854784,1345.147220578559,333.06654846062816,4188801678.640853,333.49363180376764
8,EIB2,2,67.16126229308036,-45.31627010533903,7343.686121206153,7599.417899437249,3.365149562968935,1345.2602308792386,333.0945304913025,4188801678.753863,333.49363180376764
8,EIB2,3,67.14927046985768,-45.31738371713308,7345.114687864054,7599.417899437249,3.3463511934516257,1345.2713019622502,333.09727175809485,4188801678.7649336,333.49363180376764
8,EIB2,4,67.1604435786942,-45.24152664262321,7343.005216107764,7599.417899437249,3.374109526842481,1344.517161270303,332.9105419834813,4188801678.010793,333.49363180376764
8,EIB2,5,67.16314376476447,-45.27926144717762,7343.078832024616,7599.417899437249,3.373140822162385,1344.8923056032609,333.0034299783724,4188801678.385937,333.49363180376764
8,EIB2,6,67.16825978766862,-45.17517625610935,7341.391783837833,7599.417899437249,3.395340524943669,1343.8575322677366,332.7472138720388,4188801677.351164,333.49363180376764
