turbine [MW],site,seed,LCOE [€/MWh],avg_water_depth [m],AEP [GWh],AEP without wake loss [GWh],Wake loss [%],Monopile Cost [M€],Monopile Tax [M€],CAPEX [M€],Turbine Tax [M€]
8,EIB1N,1,68.38583730490177,-42.2248026274664,3633.2303934417914,3795.1989894164094,4.267723416513815,686.1226747308128,194.24640895663785,2083200885.1488209,199.02614603904004
8,EIB1N,2,68.42071334582302,-42.26109431072467,3631.425585306063,3795.1989894164094,4.315278449616451,686.3109945187258,194.2997236828301,2083200885.3371408,199.02614603904004
8,EIB1N,3,68.42633713373652,-42.1763887788792,3630.652795592961,3795.1989894164094,4.335640747226056,685.8714522776378,194.17528602020715,2083200884.8975985,199.02614603904004
8,EIB1N,4,68.40659279814258,-42.12367574095788,3631.502726600721,3795.1989894164094,4.313245847508538,685.5979210652399,194.09784730887657,2083200884.624067,199.02614603904004
8,EIB1N,5,68.37153827923916,-42.22897058347957,3634.0723893014624,3795.1989894164094,4.2455376006443455,686.1443025122206,194.25253194167664,2083200885.1704483,199.02614603904004
8,EIB1N,6,68.41132754121546,-42.26345319869355,3631.975646453445,3795.1989894164094,4.300784844698339,686.3232349342185,194.3031890350786,2083200885.349381,199.02614603904004
8,EIB1N,7,68.40754030508629,-42.260014842221246,3632.174274436056,3795.1989894164094,4.295551180187863,686.3053930899307,194.2981378768678,2083200885.331539,199.02614603904004
8,EIB1N,8,68.4114045565552,-42.18582814617202,3631.558016314408,3795.1989894164094,4.311789014445478,685.9204337380448,194.18915303428489,2083200884.94658,199.02614603904004
8,EIB1N,9,68.43095723427477,-42.20670969289147,3630.5497074912455,3795.1989894164094,4.338357023816636,686.0287893748311,194.21982931727496,2083200885.0549352,199.02614603904004
8,EIB1N,10,68.44606263178342,-42.31326609100122,3630.25225556213,3795.1989894164094,4.346194608352917,686.5817171117454,194.37636725322096,2083200885.607863,199.02614603904004
8,EIB1S,1,68.09442805183032,-37.72298340507368,3625.926123012628,3790.254748258752,4.335556213513518,662.7624564915378,187.63295822466367,2083200861.7886024,199.02614603904004
8,EIB1S,2,68.0830952535837,-37.67105941847916,3626.299672220284,3790.254748258752,4.3257006963394335,662.4930197152523,187.55667867850997,2083200861.5191655,199.02614603904004
8,EIB1S,3,68.08440773541312,-37.701627982891495,3626.387794588294,3790.254748258752,4.323375724170997,662.6516418856811,187.60158578932476,2083200861.677788,199.02614603904004
8,EIB1S,4,68.08236992272782,-37.76402658980013,3626.8388384872633,3790.254748258752,4.311475629614652,662.9754321142984,187.69325320024197,2083200862.001578,199.02614603904004
8,EIB1S,5,68.0761879316835,-37.706875199283104,3626.888449841893,3790.254748258752,4.310166710876354,662.6788700159104,187.60929427457737,2083200861.705016,199.02614603904004
8,EIB1S,6,68.09277477881645,-37.68170575859451,3625.8002945311855,3790.254748258752,4.338876003073847,662.5482642322482,187.5723188102768,2083200861.5744104,199.02614603904004
8,EIB1S,7,68.0838729179417,-37.65938382552405,3626.1924941224297,3790.254748258752,4.328528424420345,662.4324343416445,187.53952651069497,2083200861.4585805,199.02614603904004
8,EIB1S,8,68.07292588771931,-37.65585957776167,3626.803000256319,3790.254748258752,4.312421165820645,662.4141468021427,187.5343491728694,2083200861.4402928,199.02614603904004
8,EIB1S,9,68.11516950961062,-37.792780654487686,3625.107832902708,3790.254748258752,4.357145530439928,663.1246387334861,187.735494698792,2083200862.1507847,199.02614603904004
8,EIB1S,10,68.08510394677356,-37.71106326090558,3626.398259840949,3790.254748258752,4.323099614691561,662.7006021265679,187.6154467959992,2083200861.726748,199.02614603904004
8,EIB2,1,68.34619506501856,-45.30437667326139,7343.096605065384,7599.417899437249,3.372906948449901,1411.7550418586752,399.6783043426801,4188801811.9474,400.1923581645212
8,EIB2,2,68.33681737510696,-45.34445369401971,7344.613309296788,7599.417899437249,3.3529487851869426,1412.1732022871058,399.7966886558386,4188801812.365561,400.1923581645212
8,EIB2,3,68.35221256907603,-45.44198610086325,7343.873438414974,7599.417899437249,3.362684674061659,1413.190847617519,400.084791583062,4188801813.383205,400.1923581645212
8,EIB2,4,68.3321258383485,-45.25536762483268,7344.202634842841,7599.417899437249,3.3583528103291584,1411.2436853680942,399.5335355343457,4188801811.4360433,400.1923581645212
8,EIB2,5,68.33572122779742,-45.38580380560943,7345.183553274805,7599.417899437249,3.345445000218632,1412.6046460434245,399.9188335774658,4188801812.797004,400.1923581645212
8,EIB2,6,68.33464951124536,-45.3009842691465,7344.3988551291,7599.417899437249,3.355770766692972,1411.7196457855332,399.66828345231727,4188801811.912004,400.1923581645212
8,EIB2,7,68.35345162276936,-45.37840739733952,7343.048653737451,7599.417899437249,3.373537935303998,1412.5274725112486,399.89698517914906,4188801812.719831,400.1923581645212
8,EIB2,8,68.34517677168925,-45.38428547845852,7344.070867815938,7599.417899437249,3.360086719802836,1412.588803939398,399.91434856052825,4188801812.781162,400.1923581645212
8,EIB2,9,68.33471739893905,-45.2324325526014,7343.656332085553,7599.417899437249,3.3655415551056262,1411.004382659239,399.4657871657804,4188801811.1967406,400.1923581645212
8,EIB2,10,68.3383488007069,-45.34157098460668,7344.4048361755795,7599.417899437249,3.3556920626848727,1412.1431243277073,399.78817336284936,4188801812.335482,400.1923581645212
12,EIB1N,1,67.88310012672834,-42.36611508694068,3690.33648563114,3834.0393071423223,3.748078984049089,686.855953818704,194.45400569528488,2083200912.2727127,225.4167592243733
12,EIB1N,2,67.84674823529114,-42.09046367519904,3690.990504289383,3834.0393071423223,3.7310207693087114,685.4255816029076,194.0490567311673,2083200910.842341,225.4167592243733
12,EIB1N,3,67.83298690756449,-42.05896169567679,3691.6296470760894,3834.0393071423223,3.714350549326437,685.2621158837716,194.002778375854,2083200910.6788752,225.4167592243733
12,EIB1N,4,67.83722269231488,-42.05346882019405,3691.351291342981,3834.0393071423223,3.721610666159132,685.2336130133324,193.99470900221036,2083200910.6503725,225.4167592243733
12,EIB1N,5,67.81864337287512,-42.13168890701693,3692.863365512672,3834.0393071423223,3.682172516245667,685.6395018792797,194.10961914517668,2083200911.056261,225.4167592243733
12,EIB1N,6,67.81121656301873,-42.26473250777124,3694.015004547627,3834.0393071423223,3.652135290680207,686.3298733481072,194.3050684191982,2083200911.7466328,225.4167592243733
12,EIB1N,7,67.85014920086208,-42.26153203373783,3691.709551193058,3834.0393071423223,3.712266477918544,686.3132658905005,194.30036672499568,2083200911.730025,225.4167592243733
12,EIB1N,8,67.83409565121192,-42.18143684399346,3692.222464396296,3834.0393071423223,3.698888597251464,685.8976469995779,194.18270193992217,2083200911.3144064,225.4167592243733
12,EIB1N,9,67.84115900291218,-42.17110712157881,3691.751971406939,3834.0393071423223,3.7111600674077674,685.8440454314036,194.16752693913045,2083200911.260805,225.4167592243733
12,EIB1N,10,67.83760115067479,-42.15800957983773,3691.890639260677,3834.0393071423223,3.707543311223796,685.7760814776428,194.14828584064657,2083200911.1928408,225.4167592243733
12,EIB1S,1,67.62796536102113,-37.7082011786988,3680.264734665727,3825.4784014468055,3.7959609633701903,662.6857506050682,187.6112422203086,2083200888.10251,225.4167592243733
12,EIB1S,2,67.62996463677955,-37.78540310124488,3680.563347348582,3825.4784014468055,3.7881550721451314,663.0863561536424,187.72465661701136,2083200888.5031157,225.4167592243733
12,EIB1S,3,67.6455823301799,-37.81957326318454,3679.829894680271,3825.4784014468055,3.807327907313507,663.2636672362845,187.77485469723803,2083200888.6804264,225.4167592243733
12,EIB1S,4,67.65501455289746,-37.8713283778984,3679.554757406833,3825.4784014468055,3.814520139096421,663.5322277259418,187.85088616015972,2083200888.948987,225.4167592243733
12,EIB1S,5,67.6243428896894,-37.64614361804287,3680.143116729159,3825.4784014468055,3.799140119643086,662.3637300865389,187.52007582741956,2083200887.7804892,225.4167592243733
12,EIB1S,6,67.6841107315508,-37.9461499283324,3678.2497293145593,3825.4784014468055,3.8486342538638807,663.920481376476,187.9608036430795,2083200889.3372407,225.4167592243733
12,EIB1S,7,67.65750251717263,-37.72952200001636,3678.6446958729794,3825.4784014468055,3.838309622093102,662.7963856648995,187.6425638248386,2083200888.213145,225.4167592243733
12,EIB1S,8,67.67496312753246,-37.755891062118025,3677.7618816524114,3825.4784014468055,3.8613868461138714,662.9332163582325,187.6813016071534,2083200888.349976,225.4167592243733
