utm_x,utm_y,elevation
437486.6923652303,6074000.315733865,-38.821938
437770.7994988464,6074000.315733865,-38.674442
438054.9066324626,6074000.315733865,-38.49247
438339.0137660787,6074000.315733865,-38.326157
438623.1208996948,6074000.315733865,-38.249157
438907.22803331097,6074000.315733865,-38.115124
439191.3351669271,6074000.315733865,-38.000404
439475.4423005432,6074000.315733865,-37.90513
439759.54943415936,6074000.315733865,-37.807724
440043.65656777547,6074000.315733865,-37.611656
440327.7637013916,6074000.315733865,-37.31691
440611.87083500775,6074000.315733865,-36.964596
440895.97796862386,6074000.315733865,-36.497345
441180.08510224,6074000.315733865,-36.02272
441464.19223585614,6074000.315733865,-35.504787
441748.29936947225,6074000.315733865,-34.76529
442032.40650308836,6074000.315733865,-33.93782
442316.51363670453,6074000.315733865,-33.00463
442600.62077032065,6074000.315733865,-32.265415
442884.72790393676,6074000.315733865,-31.707884
443168.8350375529,6074000.315733865,-31.100725
443452.94217116904,6074000.315733865,-30.698885
443737.04930478515,6074000.315733865,-30.509724
444021.1564384013,6074000.315733865,-30.00879
444305.26357201743,6074000.315733865,-28.940632
444589.37070563354,6074000.315733865,-28.773947
444873.4778392497,6074000.315733865,-28.51841
445157.5849728658,6074000.315733865,-28.631996
445441.69210648193,6074000.315733865,-29.265614
445725.7992400981,6074000.315733865,-29.932158
446009.9063737142,6074000.315733865,-29.836687
446294.0135073303,6074000.315733865,-29.714165
446578.1206409465,6074000.315733865,-29.353943
446862.2277745626,6074000.315733865,-29.174927
447146.3349081787,6074000.315733865,-28.83718
447430.4420417949,6074000.315733865,-28.18093
447714.549175411,6074000.315733865,-27.50016
447998.6563090271,6074000.315733865,-26.714533
448282.7634426433,6074000.315733865,-26.425098
448566.8705762594,6074000.315733865,-26.161184
448850.9777098755,6074000.315733865,-25.70484
449135.08484349167,6074000.315733865,-25.045288
449419.1919771078,6074000.315733865,-24.963879
449703.2991107239,6074000.315733865,-24.726908
449987.40624434006,6074000.315733865,-24.515734
450271.5133779562,6074000.315733865,-24.227133
450555.6205115723,6074000.315733865,-23.669346
450839.72764518845,6074000.315733865,-23.328623
451123.83477880456,6074000.315733865,-23.024511
