utm_x,utm_y,elevation
462494.59224861267,6091686.95706114,-34.057693
462783.9146064591,6091686.95706114,-32.884853
463073.23696430546,6091686.95706114,-31.561144
463362.5593221519,6091686.95706114,-30.184517
463651.88167999825,6091686.95706114,-29.291658
463941.20403784467,6091686.95706114,-28.203848
464230.52639569103,6091686.95706114,-27.315948
464519.84875353746,6091686.95706114,-26.557407
464809.1711113838,6091686.95706114,-25.981571
465098.49346923025,6091686.95706114,-25.91465
465387.8158270766,6091686.95706114,-25.687336
465677.13818492304,6091686.95706114,-25.38453
465966.4605427694,6091686.95706114,-24.998066
466255.7829006158,6091686.95706114,-25.27707
454972.2109446064,6091966.661935683,-39.65252
455261.5333024528,6091966.661935683,-40.17237
455550.8556602992,6091966.661935683,-40.26558
455840.1780181456,6091966.661935683,-40.48476
456129.500375992,6091966.661935683,-39.912575
456418.8227338384,6091966.661935683,-39.22525
456708.14509168477,6091966.661935683,-39.15674
456997.4674495312,6091966.661935683,-38.57553
457286.78980737756,6091966.661935683,-38.531433
457576.112165224,6091966.661935683,-37.786995
457865.43452307035,6091966.661935683,-37.81301
458154.7568809168,6091966.661935683,-38.205154
458444.07923876314,6091966.661935683,-38.408688
458733.40159660956,6091966.661935683,-38.081093
459022.7239544559,6091966.661935683,-37.544216
459312.04631230235,6091966.661935683,-37.063583
459601.3686701487,6091966.661935683,-37.40976
459890.69102799514,6091966.661935683,-37.084675
460180.0133858415,6091966.661935683,-37.36268
460469.33574368793,6091966.661935683,-37.052887
460758.6581015343,6091966.661935683,-36.52219
461047.9804593807,6091966.661935683,-36.184814
461337.3028172271,6091966.661935683,-35.80803
461626.6251750735,6091966.661935683,-35.806694
461915.9475329199,6091966.661935683,-35.41582
462205.2698907663,6091966.661935683,-35.029575
462494.59224861267,6091966.661935683,-34.368156
462783.9146064591,6091966.661935683,-33.942005
463073.23696430546,6091966.661935683,-32.87603
463362.5593221519,6091966.661935683,-31.937948
463651.88167999825,6091966.661935683,-30.686592
463941.20403784467,6091966.661935683,-29.223007
464230.52639569103,6091966.661935683,-28.115622
464519.84875353746,6091966.661935683,-27.032526
464809.1711113838,6091966.661935683,-26.631966
465098.49346923025,6091966.661935683,-26.20677
465387.8158270766,6091966.661935683,-25.912418
465677.13818492304,6091966.661935683,-25.30542
465966.4605427694,6091966.661935683,-25.366589
466255.7829006158,6091966.661935683,-25.078074
454972.2109446064,6092246.366810226,-40.23727
455261.5333024528,6092246.366810226,-40.273083
455550.8556602992,6092246.366810226,-40.55343
455840.1780181456,6092246.366810226,-40.732407
456129.500375992,6092246.366810226,-40.774006
456418.8227338384,6092246.366810226,-40.134644
456708.14509168477,6092246.366810226,-39.755714
456997.4674495312,6092246.366810226,-38.86329
457286.78980737756,6092246.366810226,-38.906593
457576.112165224,6092246.366810226,-38.393593
457865.43452307035,6092246.366810226,-38.412308
458154.7568809168,6092246.366810226,-38.557354
458444.07923876314,6092246.366810226,-38.631035
458733.40159660956,6092246.366810226,-38.1369
459022.7239544559,6092246.366810226,-37.681095
459312.04631230235,6092246.366810226,-37.43492
459601.3686701487,6092246.366810226,-37.790916
459890.69102799514,6092246.366810226,-37.432724
460180.0133858415,6092246.366810226,-37.50715
460469.33574368793,6092246.366810226,-37.117107
460758.6581015343,6092246.366810226,-36.724247
461047.9804593807,6092246.366810226,-36.351715
461337.3028172271,6092246.366810226,-36.393192
461626.6251750735,6092246.366810226,-36.122005
461915.9475329199,6092246.366810226,-35.647514
462205.2698907663,6092246.366810226,-35.23915
462494.59224861267,6092246.366810226,-34.489143
462783.9146064591,6092246.366810226,-34.620262
463073.23696430546,6092246.366810226,-33.73722
463362.5593221519,6092246.366810226,-32.822372
463651.88167999825,6092246.366810226,-31.499855
463941.20403784467,6092246.366810226,-30.748417
464230.52639569103,6092246.366810226,-29.024786
464519.84875353746,6092246.366810226,-27.673851
464809.1711113838,6092246.366810226,-27.147463
465098.49346923025,6092246.366810226,-26.758787
465387.8158270766,6092246.366810226,-25.899162
465677.13818492304,6092246.366810226,-25.242687
465966.4605427694,6092246.366810226,-25.126774
466255.7829006158,6092246.366810226,-25.408333
454972.2109446064,6092526.071684768,-40.772408
455261.5333024528,6092526.071684768,-40.285286
455550.8556602992,6092526.071684768,-40.555927
455840.1780181456,6092526.071684768,-40.794792
456129.500375992,6092526.071684768,-40.981354
456418.8227338384,6092526.071684768,-40.67378
456708.14509168477,6092526.071684768,-40.161034
456997.4674495312,6092526.071684768,-39.534885
457286.78980737756,6092526.071684768,-39.08422
457576.112165224,6092526.071684768,-38.98926
457865.43452307035,6092526.071684768,-38.826553
458154.7568809168,6092526.071684768,-38.769806
458444.07923876314,6092526.071684768,-38.86522
458733.40159660956,6092526.071684768,-38.520508
459022.7239544559,6092526.071684768,-37.968765
459312.04631230235,6092526.071684768,-37.67301
459601.3686701487,6092526.071684768,-38.08944
459890.69102799514,6092526.071684768,-38.00513
460180.0133858415,6092526.071684768,-37.8261
460469.33574368793,6092526.071684768,-37.144047
460758.6581015343,6092526.071684768,-36.95079
461047.9804593807,6092526.071684768,-36.88189
461337.3028172271,6092526.071684768,-36.69038
461626.6251750735,6092526.071684768,-36.81772
461915.9475329199,6092526.071684768,-36.240498
462205.2698907663,6092526.071684768,-35.917137
462494.59224861267,6092526.071684768,-35.38525
462783.9146064591,6092526.071684768,-35.39212
463073.23696430546,6092526.071684768,-34.78743
463362.5593221519,6092526.071684768,-33.406967
463651.88167999825,6092526.071684768,-32.56093
463941.20403784467,6092526.071684768,-31.75884
464230.52639569103,6092526.071684768,-30.263796
464519.84875353746,6092526.071684768,-28.978416
464809.1711113838,6092526.071684768,-27.74207
465098.49346923025,6092526.071684768,-27.116827
465387.8158270766,6092526.071684768,-26.532484
465677.13818492304,6092526.071684768,-25.907074
465966.4605427694,6092526.071684768,-25.259956
466255.7829006158,6092526.071684768,-25.1242
454972.2109446064,6092805.776559311,-41.38855
455261.5333024528,6092805.776559311,-41.014328
455550.8556602992,6092805.776559311,-40.825806
455840.1780181456,6092805.776559311,-40.778854
456129.500375992,6092805.776559311,-41.01809
456418.8227338384,6092805.776559311,-41.1229
456708.14509168477,6092805.776559311,-40.65775
456997.4674495312,6092805.776559311,-40.329895
457286.78980737756,6092805.776559311,-39.88799
457576.112165224,6092805.776559311,-39.608494
457865.43452307035,6092805.776559311,-39.556015
458154.7568809168,6092805.776559311,-38.67715
458444.07923876314,6092805.776559311,-38.547592
458733.40159660956,6092805.776559311,-38.237144
459022.7239544559,6092805.776559311,-38.072586
459312.04631230235,6092805.776559311,-37.769936
459601.3686701487,6092805.776559311,-38.484535
459890.69102799514,6092805.776559311,-37.99379
460180.0133858415,6092805.776559311,-38.14026
460469.33574368793,6092805.776559311,-36.91014
460758.6581015343,6092805.776559311,-37.362045
461047.9804593807,6092805.776559311,-37.09275
461337.3028172271,6092805.776559311,-36.97792
461626.6251750735,6092805.776559311,-36.552185
461915.9475329199,6092805.776559311,-36.546417
462205.2698907663,6092805.776559311,-36.18788
462494.59224861267,6092805.776559311,-35.730057
462783.9146064591,6092805.776559311,-35.664978
463073.23696430546,6092805.776559311,-35.0421
463362.5593221519,6092805.776559311,-34.272762
463651.88167999825,6092805.776559311,-33.193855
463941.20403784467,6092805.776559311,-32.42292
464230.52639569103,6092805.776559311,-31.54031
464519.84875353746,6092805.776559311,-30.34666
464809.1711113838,6092805.776559311,-28.8559
465098.49346923025,6092805.776559311,-27.609715
465387.8158270766,6092805.776559311,-26.756716
465677.13818492304,6092805.776559311,-26.469091
465966.4605427694,6092805.776559311,-26.128046
466255.7829006158,6092805.776559311,-25.39743
454972.2109446064,6093085.481433854,-42.013657
455261.5333024528,6093085.481433854,-41.72185
455550.8556602992,6093085.481433854,-41.192528
455840.1780181456,6093085.481433854,-40.75323
456129.500375992,6093085.481433854,-41.215515
456418.8227338384,6093085.481433854,-41.25382
456708.14509168477,6093085.481433854,-40.897217
456997.4674495312,6093085.481433854,-40.63567
457286.78980737756,6093085.481433854,-39.89344
457576.112165224,6093085.481433854,-39.80949
457865.43452307035,6093085.481433854,-39.894463
458154.7568809168,6093085.481433854,-39.03536
458444.07923876314,6093085.481433854,-39.03826
458733.40159660956,6093085.481433854,-38.83288
459022.7239544559,6093085.481433854,-38.845737
459312.04631230235,6093085.481433854,-38.692673
459601.3686701487,6093085.481433854,-38.549652
459890.69102799514,6093085.481433854,-37.98526
460180.0133858415,6093085.481433854,-38.189808
460469.33574368793,6093085.481433854,-37.917976
460758.6581015343,6093085.481433854,-37.494926
461047.9804593807,6093085.481433854,-37.405533
461337.3028172271,6093085.481433854,-36.920624
461626.6251750735,6093085.481433854,-36.903225
461915.9475329199,6093085.481433854,-36.571472
462205.2698907663,6093085.481433854,-36.59163
462494.59224861267,6093085.481433854,-36.058323
462783.9146064591,6093085.481433854,-35.130913
463073.23696430546,6093085.481433854,-35.316776
463362.5593221519,6093085.481433854,-34.86507
463651.88167999825,6093085.481433854,-34.465294
463941.20403784467,6093085.481433854,-33.046944
464230.52639569103,6093085.481433854,-32.54682
464519.84875353746,6093085.481433854,-31.732721
464809.1711113838,6093085.481433854,-30.189613
465098.49346923025,6093085.481433854,-29.080332
