utm_x,utm_y,elevation
471760.6450623161,6058698.759424217,-42.892746
472243.95426136436,6058698.759424217,-43.52533
472727.2634604126,6058698.759424217,-44.131462
473210.57265946094,6058698.759424217,-44.79523
473693.8818585092,6058698.759424217,-45.299152
474177.1910575575,6058698.759424217,-45.896454
474660.50025660574,6058698.759424217,-46.426422
475143.809455654,6058698.759424217,-46.882065
475627.11865470227,6058698.759424217,-47.425568
476110.42785375053,6058698.759424217,-47.843597
476593.73705279885,6058698.759424217,-48.19709
477077.0462518471,6058698.759424217,-48.550148
477560.3554508954,6058698.759424217,-48.848114
478043.66464994365,6058698.759424217,-49.16269
478526.9738489919,6058698.759424217,-49.4755
479010.2830480402,6058698.759424217,-49.565678
479493.59224708844,6058698.759424217,-49.84831
479976.90144613676,6058698.759424217,-50.04142
480460.210645185,6058698.759424217,-50.23628
480943.5198442333,6058698.759424217,-50.430656
481426.82904328156,6058698.759424217,-50.569057
481910.1382423298,6058698.759424217,-50.713444
482393.4474413781,6058698.759424217,-50.851906
482876.75664042635,6058698.759424217,-51.028275
483360.0658394747,6058698.759424217,-51.126183
483843.37503852294,6058698.759424217,-51.28528
484326.6842375712,6058698.759424217,-51.39268
484809.99343661946,6058698.759424217,-51.50527
485293.30263566773,6058698.759424217,-51.608437
485776.611834716,6058698.759424217,-51.710617
486259.92103376426,6058698.759424217,-51.815426
486743.2302328126,6058698.759424217,-51.91855
487226.53943186085,6058698.759424217,-52.02135
487709.8486309091,6058698.759424217,-52.13201
488193.1578299574,6058698.759424217,-52.19934
488676.46702900564,6058698.759424217,-52.2203
489159.7762280539,6058698.759424217,-52.367386
489643.08542710217,6058698.759424217,-52.482098
490126.3946261505,6058698.759424217,-52.591236
490609.70382519875,6058698.759424217,-52.684784
491093.013024247,6058698.759424217,-52.767982
491576.3222232953,6058698.759424217,-52.867577
492059.63142234355,6058698.759424217,-52.975647
492542.9406213918,6058698.759424217,-53.08079
493026.2498204401,6058698.759424217,-53.226627
493509.55901948834,6058698.759424217,-53.35748
493992.86821853666,6058698.759424217,-53.5324
494476.1774175849,6058698.759424217,-53.73294
494959.4866166332,6058698.759424217,-53.940693
495442.79581568146,6058698.759424217,-54.17267
495926.1050147297,6058698.759424217,-54.383987
496409.414213778,6058698.759424217,-54.61468
496892.72341282625,6058698.759424217,-54.818504
497376.0326118746,6058698.759424217,-55.038334
497859.34181092284,6058698.759424217,-55.279873
498342.6510099711,6058698.759424217,-55.545033
498825.96020901937,6058698.759424217,-55.777203
467894.1714699299,6059176.3297061585,-36.32528
468377.4806689782,6059176.3297061585,-37.158943
